generation,cell,method,true_E60,gain_vs_cell_mean_pct,verdict
v2,jitter_s006,cmaes,2.6359,0.762,CLAIMABLE
v2,jitter_s006,cmaes,2.6335,0.671,CLAIMABLE
v2,jitter_s006,cmaes,2.63431,0.702,CLAIMABLE
v2,jitter_s006,cmaes,2.6376,0.827,CLAIMABLE
v2,jitter_s006,cmaes,2.64742,1.203,CLAIMABLE
v2,jitter_s006,cmaes,2.6304,0.552,CLAIMABLE
v2,jitter_s006,cmaes,2.63609,0.77,CLAIMABLE
v2,jitter_s006,gradient,2.64476,1.101,CLAIMABLE
v2,jitter_s006,gradient,2.6439,1.068,CLAIMABLE
v2,jitter_s006,gradient,2.65079,1.331,CLAIMABLE
v2,jitter_s006,gradient,2.63758,0.827,CLAIMABLE
v2,jitter_s006,gradient,2.62919,0.506,CLAIMABLE
v2,jitter_s006,gradient,2.64479,1.102,CLAIMABLE
v2,jitter_s006,gradient,2.63443,0.706,CLAIMABLE
v2,jitter_s006,gradient,2.63911,0.885,CLAIMABLE
v2,jitter_s008,cmaes,2.64227,0.699,CLAIMABLE
v2,jitter_s008,cmaes,2.6554,1.199,CLAIMABLE
v2,jitter_s008,cmaes,2.6515,1.051,CLAIMABLE
v2,jitter_s008,cmaes,2.6531,1.112,CLAIMABLE
v2,jitter_s008,cmaes,2.65044,1.01,CLAIMABLE
v2,jitter_s008,cmaes,2.63923,0.583,CLAIMABLE
v2,jitter_s008,cmaes,2.66163,1.437,CLAIMABLE
v2,jitter_s008,cmaes,2.64312,0.731,CLAIMABLE
v2,jitter_s008,cmaes,2.64126,0.661,CLAIMABLE
v2,jitter_s008,cmaes,2.64218,0.696,CLAIMABLE
v2,jitter_s008,cmaes,2.64553,0.823,CLAIMABLE
v2,jitter_s008,cmaes,2.64365,0.752,CLAIMABLE
v2,jitter_s008,gradient,2.64663,0.865,CLAIMABLE
v2,jitter_s008,gradient,2.65621,1.23,CLAIMABLE
v2,jitter_s008,gradient,2.64372,0.754,CLAIMABLE
v2,jitter_s008,gradient,2.64443,0.781,CLAIMABLE
v2,jitter_s008,gradient,2.66569,1.591,CLAIMABLE
v2,jitter_s008,gradient,2.64222,0.697,CLAIMABLE
v2,jitter_s008,gradient,2.65551,1.204,CLAIMABLE
v2,jitter_s008,gradient,2.63812,0.541,CLAIMABLE
v2,jitter_s010,cmaes,2.64155,0.792,CLAIMABLE
v2,jitter_s010,cmaes,2.65427,1.277,CLAIMABLE
v2,jitter_s010,cmaes,2.65167,1.178,CLAIMABLE
v2,jitter_s010,cmaes,2.65432,1.279,CLAIMABLE
v2,jitter_s010,cmaes,2.6316,0.412,CLAIMABLE
v2,jitter_s010,cmaes,2.65163,1.177,CLAIMABLE
v2,jitter_s010,cmaes,2.64693,0.997,CLAIMABLE
v2,jitter_s010,cmaes,2.66264,1.596,CLAIMABLE
v2,jitter_s010,cmaes,2.64555,0.944,CLAIMABLE
v2,jitter_s010,cmaes,2.65914,1.463,CLAIMABLE
v2,jitter_s010,cmaes,2.63496,0.54,CLAIMABLE
v2,jitter_s010,cmaes,2.64592,0.959,CLAIMABLE
v2,jitter_s010,gradient,2.65291,1.225,CLAIMABLE
v2,jitter_s010,gradient,2.65155,1.174,CLAIMABLE
v2,jitter_s010,gradient,2.65812,1.424,CLAIMABLE
v2,jitter_s010,gradient,2.64804,1.04,CLAIMABLE
v2,jitter_s010,gradient,2.64461,0.909,CLAIMABLE
v2,jitter_s010,gradient,2.65064,1.139,CLAIMABLE
v2,jitter_s010,gradient,2.63511,0.546,CLAIMABLE
v2,jitter_s010,gradient,2.64281,0.84,CLAIMABLE
v2,jitter_s0125,cmaes,2.65682,1.675,CLAIMABLE
v2,jitter_s0125,cmaes,2.64134,1.082,CLAIMABLE
v2,jitter_s0125,cmaes,2.6454,1.238,CLAIMABLE
v2,jitter_s0125,cmaes,2.63907,0.996,CLAIMABLE
v2,jitter_s0125,cmaes,2.64839,1.352,CLAIMABLE
v2,jitter_s0125,cmaes,2.6465,1.28,CLAIMABLE
v2,jitter_s0125,cmaes,2.64468,1.21,CLAIMABLE
v2,jitter_s0125,cmaes,2.64176,1.098,CLAIMABLE
v2,jitter_s0125,cmaes,2.64095,1.067,CLAIMABLE
v2,jitter_s0125,cmaes,2.64816,1.343,CLAIMABLE
v2,jitter_s0125,cmaes,2.66086,1.829,CLAIMABLE
v2,jitter_s0125,cmaes,2.62643,0.512,CLAIMABLE
v2,jitter_s0125,gradient,2.64492,1.22,CLAIMABLE
v2,jitter_s0125,gradient,2.656,1.643,CLAIMABLE
v2,jitter_s0125,gradient,2.64007,1.034,CLAIMABLE
v2,jitter_s0125,gradient,2.64989,1.409,CLAIMABLE
v2,jitter_s0125,gradient,2.64255,1.129,CLAIMABLE
v2,jitter_s0125,gradient,2.64065,1.056,CLAIMABLE
v2,jitter_s0125,gradient,2.6472,1.307,CLAIMABLE
v2,jitter_s0125,gradient,2.63902,0.993,CLAIMABLE
v2,jitter_s015,cmaes,2.6462,1.636,CLAIMABLE
v2,jitter_s015,cmaes,2.64489,1.586,CLAIMABLE
v2,jitter_s015,cmaes,2.66753,2.456,CLAIMABLE
v2,jitter_s015,cmaes,2.64493,1.588,CLAIMABLE
v2,jitter_s015,cmaes,2.65516,1.981,CLAIMABLE
v2,jitter_s015,cmaes,2.63293,1.127,CLAIMABLE
v2,jitter_s015,cmaes,2.64585,1.623,CLAIMABLE
v2,jitter_s015,cmaes,2.63114,1.058,CLAIMABLE
v2,jitter_s015,cmaes,2.65556,1.996,CLAIMABLE
v2,jitter_s015,cmaes,2.64846,1.723,CLAIMABLE
