block,row,dir,set,tta,status,n,mae,rmse,rho_pooled,rms_s_over_rmse,picp_1s,picp_2s,picp_3s,mean_E,se_E,max_E,n_claimable,true_col
surrogate,#13 ensemble k=1 (shared),ens_k1,test,on,done,272,0.006006635259836912,0.007614020723849535,0.6183281762362871,1.1027679372221306,0.7022058823529411,0.9742647058823529,1.0,,,,,
surrogate,#13 ensemble k=3 (shared),ens_k3,test,off,done,272,0.0052077630534768105,0.006694365758448839,0.6954071908104644,0.9719661344872347,0.6617647058823529,0.9485294117647058,1.0,,,,,
surrogate,#13 ensemble k=3 (shared),ens_k3,test,on,done,272,0.005273968912661076,0.006720819044858217,0.6959891697835037,0.9777376594184558,0.6433823529411765,0.9485294117647058,1.0,,,,,
surrogate,#14 raster 256 px,raster256,test,off,done,272,0.00602347357198596,0.007779205683618784,0.608057184233541,1.023694104239884,0.6654411764705882,0.9632352941176471,0.9963235294117647,,,,,
surrogate,#14 raster 256 px,raster256,test,on,done,272,0.006029951386153698,0.0077643562108278275,0.6192874101972512,1.026697168760527,0.6691176470588235,0.9632352941176471,0.9963235294117647,,,,,
surrogate,#16 circular pad + shift aug,circular_shift,test,off,done,272,0.00573906023055315,0.007318535819649696,0.6470334164105791,1.0187498616098458,0.6691176470588235,0.9669117647058824,0.9963235294117647,,,,,
surrogate,#16 circular pad + shift aug,circular_shift,test,on,done,272,0.005702281836420298,0.007301133591681719,0.6555995186102975,1.0219840277465524,0.6691176470588235,0.9669117647058824,0.9963235294117647,,,,,
surrogate,"#16b circular, retuned (260-trial sweep)",circular_retune/final,test,off,done,272,0.005800935439765453,0.007347703445702791,0.6601081139388143,1.146899821047789,0.7389705882352942,0.9816176470588235,1.0,,,,,
surrogate,"#16b circular, retuned (260-trial sweep)",circular_retune/final,test,on,done,272,0.0057628462091088295,0.0073069240897893906,0.6665585245659457,1.1571588439601057,0.7316176470588235,0.9779411764705882,1.0,,,,,
surrogate,#18 no attention,attn_none,test,off,done,272,0.00554031552746892,0.00707296933978796,0.678537801530255,0.9848404308198663,0.6507352941176471,0.9485294117647058,0.9963235294117647,,,,,
surrogate,#18 no attention,attn_none,test,on,done,272,0.005553122144192457,0.0070844064466655254,0.6805937044842185,0.9841798616728783,0.6433823529411765,0.9522058823529411,0.9963235294117647,,,,,
surrogate,#19 CBAM,attn_cbam,test,off,done,272,0.005903234239667654,0.0074476636946201324,0.6376802676622836,1.1006115144078907,0.6985294117647058,0.9669117647058824,1.0,,,,,
surrogate,#19 CBAM,attn_cbam,test,on,done,272,0.005842789076268673,0.007408063858747482,0.6383570354249647,1.114239784329275,0.7022058823529411,0.9705882352941176,1.0,,,,,
surrogate,#20 ECA,attn_eca,test,off,done,272,0.005615898873656988,0.0070825787261128426,0.6599344406352463,1.1207006939377326,0.7058823529411765,0.9632352941176471,1.0,,,,,
surrogate,#20 ECA,attn_eca,test,on,done,272,0.005584264639765024,0.007058999966830015,0.6652119151450444,1.1254037924579494,0.7058823529411765,0.9669117647058824,1.0,,,,,
surrogate,#21 self-attn (all blocks),attn_sa,test,off,done,272,0.006659576203674078,0.008482648991048336,0.49883682541355323,1.072586549994922,0.7132352941176471,0.9669117647058824,1.0,,,,,
surrogate,#21 self-attn (all blocks),attn_sa,test,on,done,272,0.006693209987133741,0.008510743267834187,0.4875238662683459,1.0725767401325907,0.7132352941176471,0.9669117647058824,1.0,,,,,
